product_name;brand;product_type;unit;unit_purchase;price_per_unit;total_price;currency;date;delivery;store_location;type_store;customer_name;cashier_name
Tiga Roda 40 kg;Tiga Roda;Cement;Sack;13;64000;832000;IDR;28/01/2023 10:49;Delivery;Jakarta;Branch;Ananda Ubaid;Ahmad Adam
Hand Saw;Tekiro;Tool;Piece;45;60000;2700000;IDR;07/09/2021 10:06;Pickup;Jakarta;Branch;Agung Kusuma;Erinna Elsa Elizha
Skim Coat (Wall Putty);Drymix;Mortar;Sack;39;55000;2145000;IDR;16/11/2023 16:39;Delivery;Denpasar;Branch;Kayla Shihab;Nina Octavia
Steel Door;WINA;Door;Piece;28;700000;19600000;IDR;20/03/2023 12:56;Delivery;Bandung;Branch;Erna Thalib;Anwar Arif Akhtar
Gresik 50 kg;Gresik;Cement;Sack;11;70000;770000;IDR;31/12/2021 10:36;Pickup;Surabaya;Branch;Erna Shihab;Zahra Jasmine
Door Lock;Solid;Lock;Set;4;100000;400000;IDR;05/07/2021 13:48;Pickup;Medan;Branch;Azahra Wijaya;Chairil Dhaifullah
Hand Saw;Tekiro;Tool;Piece;4;60000;240000;IDR;05/12/2024 9:15;Delivery;Jayapura;Branch;Melania Shihab;Fauzi Ghaffar
Water Tank;Penguin;Plumbing;Piece;6;1500000;9000000;IDR;09/08/2021 8:49;Delivery;Denpasar;Branch;Erna Syaiban;Ibrahim Iman
Paint Roller;Ace Oldfields;Paint Accessory;Piece;49;25000;1225000;IDR;24/02/2020 13:32;Delivery;Jayapura;Branch;Ferry Pahlevi;Marshanda Maharani
Door Lock;Solid;Lock;Set;34;100000;3400000;IDR;20/05/2021 11:23;Pickup;Tasikmalaya;Head Office;Azahra Malaka;Naura Aliya Lestari
PVC Pipe;Wavin;Plumbing;Meter;12;15000;180000;IDR;24/12/2022 14:07;Pickup;Denpasar;Branch;Agus Kusuma;Ilyas Jabar
Wheelbarrow;Artco;Tool;Piece;27;450000;12150000;IDR;21/09/2022 10:26;Delivery;Tasikmalaya;Head Office;Agung Tanuwijaya;Atyla Azfa
Rebar 8mm;Master Steel;Steel;Meter;44;20000;880000;IDR;27/05/2023 14:00;Delivery;Denpasar;Branch;Asep Jayawardana;Permata Qaila
Ceramic Tile;Roman;Tile;Box;16;75000;1200000;IDR;20/09/2021 12:46;Pickup;Bandung;Branch;Syifa Pahlevi;Anwar Arif Akhtar
Wall Paint;Dulux;Paint;Can;26;120000;3120000;IDR;10/04/2023 13:40;Pickup;Tasikmalaya;Head Office;Agus Wijaya;Atyla Azfa
Lamp Bulb;Philips;Electrical;Piece;26;15000;390000;IDR;03/07/2023 10:43;Pickup;Surabaya;Branch;Aleena Thalib;Agus Cahyadi
Sitting Toilet;TOTO;Sanitary;Piece;30;1200000;36000000;IDR;24/01/2022 9:40;Delivery;Jakarta;Branch;Saiful Thalib;Ahmad Adam
Gresik 50 kg;Gresik;Cement;Sack;23;70000;1610000;IDR;21/05/2020 11:08;Delivery;Medan;Branch;Erna Malaka;Kezia Karen
Door Handle;Belleza;Lock Accessory;Piece;37;50000;1850000;IDR;18/12/2024 10:42;Delivery;Jayapura;Branch;Budi Shihab;Latifa Laila
Red Brick;Laksana;Brick;Piece;23;800;18400;IDR;20/03/2021 14:00;Pickup;Jayapura;Branch;Asep Wijaya;Faiz Fadlurrahman
Lightweight Steel Roof Frame;Taso;Roof Frame;Meter;37;45000;1665000;IDR;20/07/2020 12:59;Delivery;Bandung;Branch;Nina Kusuma;Hera Harsha
Timber Beam (Kaso);Unbranded;Wood;Piece;14;25000;350000;IDR;28/12/2022 8:14;Delivery;Denpasar;Branch;Agung Kusuma;Ibrahim Iman
Paint Brush;Eterna;Paint Accessory;Piece;35;15000;525000;IDR;02/12/2022 10:00;Delivery;Surabaya;Branch;Kayla Tanuwijaya;Burhan Bakhtiar
Gypsum Board;Jayaboard;Ceiling;Sheet;48;60000;2880000;IDR;11/11/2021 15:51;Pickup;Jayapura;Branch;Kayla Thalib;Marshanda Maharani
Masonry Sand;Unbranded;Sand;Cubic Meter;33;250000;8250000;IDR;22/12/2021 9:25;Pickup;Bandung;Branch;Kayla Malaka;Anwar Arif Akhtar
Measuring Tape;Stanley;Tool;Piece;13;30000;390000;IDR;26/02/2024 15:01;Delivery;Medan;Branch;Maya Syaiban;Kezia Karen
Tile Adhesive Mortar;AM;Mortar;Sack;5;60000;300000;IDR;07/02/2022 13:46;Delivery;Jayapura;Branch;Azahra Kusuma;Latifa Laila
Tile Grout;Sika;Mortar;Sack;13;45000;585000;IDR;16/06/2021 10:37;Pickup;Tasikmalaya;Head Office;Nina Wijaya;Naura Aliya Lestari
Concrete Sand;Unbranded;Sand;Cubic Meter;24;300000;7200000;IDR;25/11/2024 16:09;Delivery;Surabaya;Branch;Tono Jayawardana;Agus Cahyadi
Sandpaper;Taiyo;Paint Accessory;Piece;6;5000;30000;IDR;24/10/2024 14:11;Delivery;Jakarta;Branch;Syifa Malaka;Ahmad Adam
Granite Tile;Indogress;Tile;Box;22;150000;3300000;IDR;12/12/2022 14:14;Delivery;Surabaya;Branch;Wawan Malaka;Agus Cahyadi
Hand Saw;Tekiro;Tool;Piece;2;60000;120000;IDR;07/10/2021 17:53;Delivery;Medan;Branch;Tono Jayawardana;Chairil Dhaifullah
Tile Grout;Sika;Mortar;Sack;25;45000;1125000;IDR;12/12/2024 12:53;Pickup;Medan;Branch;Wawan Jayawardana;Kezia Karen
Wall Putty (Filler);Matex;Paint Accessory;Kg;16;20000;320000;IDR;26/06/2020 16:06;Pickup;Tasikmalaya;Head Office;Asep Wijaya;Naura Aliya Lestari
Gresik 50 kg;Gresik;Cement;Sack;34;70000;2380000;IDR;13/04/2021 17:38;Pickup;Medan;Branch;Azahra Tanuwijaya;Ehsan Aziz
Red Brick;Laksana;Brick;Piece;9;800;7200;IDR;20/02/2021 8:30;Delivery;Surabaya;Branch;Erna Thalib;Agus Cahyadi
Wall Putty (Filler);Matex;Paint Accessory;Kg;31;20000;620000;IDR;15/06/2023 14:42;Pickup;Jakarta;Branch;Tono Syaiban;Ahmad Adam
Pliers;Tekiro;Tool;Piece;32;35000;1120000;IDR;04/02/2021 16:12;Delivery;Jakarta;Branch;Ferry Kusuma;Erinna Elsa Elizha
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;12;15000;180000;IDR;11/03/2021 11:38;Pickup;Medan;Branch;Maya Syaiban;Kezia Karen
Skim Coat (Wall Putty);Drymix;Mortar;Sack;2;55000;110000;IDR;16/06/2023 16:57;Delivery;Surabaya;Branch;Ananda Wijaya;Agus Cahyadi
Water Faucet;Wasser;Sanitary;Piece;24;75000;1800000;IDR;03/08/2023 13:04;Pickup;Jayapura;Branch;Saiful Jayawardana;Fauzi Ghaffar
Wheelbarrow;Artco;Tool;Piece;5;450000;2250000;IDR;05/11/2020 9:32;Pickup;Denpasar;Branch;Ferry Wijaya;Ibrahim Iman
Skim Coat (Wall Putty);Drymix;Mortar;Sack;37;55000;2035000;IDR;04/12/2021 12:15;Pickup;Denpasar;Branch;Kayla Wijaya;Nina Octavia
Plastering Float;Lippro;Tool;Piece;40;30000;1200000;IDR;04/07/2022 17:04;Delivery;Denpasar;Branch;Kayla Syaiban;Ibrahim Iman
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;33;15000;495000;IDR;14/07/2020 11:20;Pickup;Jakarta;Branch;Nina Syaiban;Ahmad Adam
Tiga Roda 50 kg;Tiga Roda;Cement;Sack;29;76000;2204000;IDR;30/10/2021 10:29;Pickup;Bandung;Branch;Saiful Pahlevi;Harum Hafsa
Wheelbarrow;Artco;Tool;Piece;1;450000;450000;IDR;26/09/2024 8:46;Delivery;Denpasar;Branch;Melania Tanuwijaya;Permata Qaila
Shovel;Camel;Tool;Piece;44;75000;3300000;IDR;31/07/2021 10:45;Pickup;Surabaya;Branch;Wawan Malaka;Zahra Jasmine
Concrete Block;Bricon;Brick;Piece;36;5000;180000;IDR;09/06/2023 10:00;Pickup;Surabaya;Branch;Saiful Thalib;Isabell Inaya
Masonry Sand;Unbranded;Sand;Cubic Meter;33;250000;8250000;IDR;29/09/2020 13:45;Pickup;Surabaya;Branch;Nina Kusuma;Agus Cahyadi
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;47;15000;705000;IDR;09/10/2020 13:31;Delivery;Surabaya;Branch;Saiful Kusuma;Isabell Inaya
Asbestos Sheet;Djabesmen;Roof Covering;Meter;27;60000;1620000;IDR;29/04/2021 16:17;Delivery;Jakarta;Branch;Aleena Syaiban;Muhammad Fikru
Door Hinge;Belleza;Lock Accessory;Pair;19;30000;570000;IDR;23/07/2024 11:34;Pickup;Jakarta;Branch;Azahra Jayawardana;Erinna Elsa Elizha
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;29;15000;435000;IDR;18/05/2024 16:47;Delivery;Bandung;Branch;Ayu Kusuma;Asep Aziz
Tiga Roda 40 kg;Tiga Roda;Cement;Sack;11;64000;704000;IDR;18/12/2024 17:10;Pickup;Tasikmalaya;Head Office;Melania Kusuma;Ayu Putri Avicenna
Conduit Pipe;Clipsal;Electrical;Meter;40;7000;280000;IDR;27/12/2021 14:02;Delivery;Tasikmalaya;Head Office;Melania Thalib;Atyla Azfa
Door Handle;Belleza;Lock Accessory;Piece;45;50000;2250000;IDR;09/03/2023 11:17;Delivery;Jakarta;Branch;Ananda Thalib;Ahmad Adam
Floor Drain;Onda;Sanitary;Piece;46;50000;2300000;IDR;14/03/2023 12:29;Pickup;Medan;Branch;Hendra Malaka;Kezia Karen
PVC Pipe;Wavin;Plumbing;Meter;37;15000;555000;IDR;17/06/2022 16:51;Delivery;Bandung;Branch;Erna Kusuma;Anwar Arif Akhtar
Gresik 40 kg;Gresik;Cement;Sack;38;57000;2166000;IDR;21/05/2020 13:24;Delivery;Jakarta;Branch;Melania Malaka;Erinna Elsa Elizha
Clay Roof Tile;Kanmuri;Roof Covering;Piece;9;2000;18000;IDR;01/06/2024 8:22;Delivery;Tasikmalaya;Head Office;Ayu Wijaya;Ayu Putri Avicenna
Sitting Toilet;TOTO;Sanitary;Piece;23;1200000;27600000;IDR;14/07/2022 17:27;Delivery;Jayapura;Branch;Agus Thalib;Marshanda Maharani
Door Frame (Wood);Unbranded;Door Frame;Piece;30;250000;7500000;IDR;03/12/2021 12:20;Pickup;Surabaya;Branch;Agung Syaiban;Agus Cahyadi
Skim Coat (Wall Putty);Drymix;Mortar;Sack;14;55000;770000;IDR;21/09/2020 9:06;Pickup;Surabaya;Branch;Maya Thalib;Isabell Inaya
Hand Saw;Tekiro;Tool;Piece;31;60000;1860000;IDR;17/02/2024 15:00;Pickup;Bandung;Branch;Nina Jayawardana;Asep Aziz
Crushed Stone / Gravel;Unbranded;Stone;Cubic Meter;17;350000;5950000;IDR;05/10/2022 14:35;Pickup;Jakarta;Branch;Erna Wijaya;Fiona Gianna
Spirit Level;Krisbow;Tool;Piece;38;65000;2470000;IDR;16/04/2020 16:16;Delivery;Surabaya;Branch;Erna Pahlevi;Agus Cahyadi
Crushed Stone / Gravel;Unbranded;Stone;Cubic Meter;26;350000;9100000;IDR;11/05/2021 11:56;Pickup;Jakarta;Branch;Wawan Shihab;Muhammad Fikru
Tiga Roda 40 kg;Tiga Roda;Cement;Sack;2;64000;128000;IDR;18/03/2024 17:34;Delivery;Jayapura;Branch;Tono Wijaya;Fauzi Ghaffar
Paint Brush;Eterna;Paint Accessory;Piece;17;15000;255000;IDR;20/01/2022 10:00;Pickup;Tasikmalaya;Head Office;Tono Syaiban;Naura Aliya Lestari
Clay Roof Tile;Kanmuri;Roof Covering;Piece;48;2000;96000;IDR;24/01/2024 11:47;Pickup;Surabaya;Branch;Ayu Syaiban;Burhan Bakhtiar
Hoe;Camel;Tool;Piece;16;80000;1280000;IDR;04/12/2020 12:46;Pickup;Tasikmalaya;Head Office;Saiful Shihab;Naura Aliya Lestari
Paint Brush;Eterna;Paint Accessory;Piece;30;15000;450000;IDR;17/06/2022 9:29;Pickup;Jayapura;Branch;Kayla Shihab;Fauzi Ghaffar
Granite Tile;Indogress;Tile;Box;35;150000;5250000;IDR;13/11/2024 11:02;Delivery;Tasikmalaya;Head Office;Melania Tanuwijaya;Al Harits
Tiga Roda 50 kg;Tiga Roda;Cement;Sack;41;76000;3116000;IDR;22/03/2023 17:06;Delivery;Jayapura;Branch;Ferry Ubaid;Marshanda Maharani
Clay Roof Tile;Kanmuri;Roof Covering;Piece;6;2000;12000;IDR;30/10/2020 13:25;Delivery;Surabaya;Branch;Agung Tanuwijaya;Zahra Jasmine
Rebar 8mm;Master Steel;Steel;Meter;47;20000;940000;IDR;16/07/2021 8:31;Delivery;Medan;Branch;Ferry Kusuma;Ehsan Aziz
Timber Beam (Kaso);Unbranded;Wood;Piece;21;25000;525000;IDR;02/08/2021 11:47;Pickup;Jakarta;Branch;Ayu Jayawardana;Fiona Gianna
Shovel;Camel;Tool;Piece;15;75000;1125000;IDR;25/11/2023 8:29;Delivery;Tasikmalaya;Head Office;Nina Syaiban;Naura Aliya Lestari
Electrical Cable;Supreme;Electrical;Meter;16;5000;80000;IDR;14/10/2024 11:46;Delivery;Jayapura;Branch;Agus Syaiban;Faiz Fadlurrahman
Crushed Stone / Gravel;Unbranded;Stone;Cubic Meter;5;350000;1750000;IDR;20/12/2024 13:10;Pickup;Tasikmalaya;Head Office;Ferry Ubaid;Al Harits
Plaster Mortar;Mortar Utama (MU);Mortar;Sack;29;50000;1450000;IDR;16/05/2022 10:55;Pickup;Bandung;Branch;Wawan Syaiban;Hera Harsha
Metal Roof Tile;Multi Roof;Roof Covering;Piece;20;5000;100000;IDR;07/08/2021 16:40;Pickup;Jakarta;Branch;Syifa Kusuma;Fiona Gianna
Timber Beam (Kaso);Unbranded;Wood;Piece;3;25000;75000;IDR;13/06/2020 17:25;Pickup;Denpasar;Branch;Kayla Wijaya;Ilyas Jabar
Door Handle;Belleza;Lock Accessory;Piece;21;50000;1050000;IDR;21/06/2021 17:09;Pickup;Jakarta;Branch;Hendra Shihab;Fiona Gianna
Formwork Board (Shuttering);Unbranded;Wood;Piece;20;30000;600000;IDR;16/01/2021 8:55;Delivery;Medan;Branch;Saiful Tanuwijaya;Ehsan Aziz
Paint Brush;Eterna;Paint Accessory;Piece;6;15000;90000;IDR;21/04/2023 10:52;Delivery;Medan;Branch;Budi Thalib;Kezia Karen
GRC Board;KalsiBoard;Ceiling;Sheet;41;70000;2870000;IDR;24/10/2024 16:44;Pickup;Medan;Branch;Kayla Ubaid;Kezia Karen
Tiga Roda 50 kg;Tiga Roda;Cement;Sack;44;76000;3344000;IDR;10/12/2020 17:50;Pickup;Jayapura;Branch;Syifa Syaiban;Fauzi Ghaffar
Wall Paint;Dulux;Paint;Can;3;120000;360000;IDR;20/10/2020 10:24;Pickup;Tasikmalaya;Head Office;Agung Kusuma;Naura Aliya Lestari
Timber Beam (Kaso);Unbranded;Wood;Piece;5;25000;125000;IDR;09/09/2020 17:07;Pickup;Bandung;Branch;Budi Kusuma;Anwar Arif Akhtar
Plaster Mortar;Mortar Utama (MU);Mortar;Sack;9;50000;450000;IDR;25/03/2022 17:53;Pickup;Tasikmalaya;Head Office;Wawan Tanuwijaya;Ayu Putri Avicenna
Skim Coat (Wall Putty);Drymix;Mortar;Sack;42;55000;2310000;IDR;29/09/2021 12:10;Pickup;Surabaya;Branch;Nina Kusuma;Agus Cahyadi
Lamp Bulb;Philips;Electrical;Piece;7;15000;105000;IDR;02/01/2021 9:41;Delivery;Surabaya;Branch;Nina Ubaid;Burhan Bakhtiar
Power Outlet;Panasonic;Electrical;Piece;9;20000;180000;IDR;15/02/2021 16:03;Delivery;Bandung;Branch;Hendra Malaka;Anwar Arif Akhtar
Spirit Level;Krisbow;Tool;Piece;34;65000;2210000;IDR;08/02/2021 17:12;Pickup;Bandung;Branch;Ferry Jayawardana;Hera Harsha
Rebar 8mm;Master Steel;Steel;Meter;13;20000;260000;IDR;09/08/2022 17:55;Delivery;Medan;Branch;Maya Thalib;Ehsan Aziz
PVC Pipe;Wavin;Plumbing;Meter;12;15000;180000;IDR;03/10/2024 16:53;Pickup;Jayapura;Branch;Aleena Shihab;Faiz Fadlurrahman
Asbestos Sheet;Djabesmen;Roof Covering;Meter;7;60000;420000;IDR;02/12/2023 17:20;Pickup;Denpasar;Branch;Tono Wijaya;Ibrahim Iman
Wash Basin (Sink);TOTO;Sanitary;Piece;9;600000;5400000;IDR;26/11/2021 17:39;Pickup;Jakarta;Branch;Aleena Ubaid;Muhammad Fikru
Skim Coat (Wall Putty);Drymix;Mortar;Sack;50;55000;2750000;IDR;19/03/2020 10:10;Pickup;Bandung;Branch;Melania Ubaid;Hera Harsha
Metal Roof Tile;Multi Roof;Roof Covering;Piece;17;5000;85000;IDR;24/08/2023 8:51;Pickup;Denpasar;Branch;Aleena Thalib;Ilyas Jabar
Door Handle;Belleza;Lock Accessory;Piece;43;50000;2150000;IDR;12/08/2021 12:28;Delivery;Medan;Branch;Erna Malaka;Ehsan Aziz
Sitting Toilet;TOTO;Sanitary;Piece;21;1200000;25200000;IDR;16/03/2021 9:12;Delivery;Denpasar;Branch;Nina Kusuma;Ilyas Jabar
Spandek / Galvalume Sheet;BlueScope;Roof Covering;Meter;20;90000;1800000;IDR;10/04/2023 10:16;Pickup;Tasikmalaya;Head Office;Tono Ubaid;Ayu Putri Avicenna
PVC Pipe;Wavin;Plumbing;Meter;10;15000;150000;IDR;09/06/2021 17:14;Delivery;Medan;Branch;Ayu Tanuwijaya;Ehsan Aziz
Measuring Tape;Stanley;Tool;Piece;34;30000;1020000;IDR;04/03/2023 12:08;Pickup;Bandung;Branch;Melania Pahlevi;Asep Aziz
Spirit Level;Krisbow;Tool;Piece;3;65000;195000;IDR;17/05/2024 8:43;Pickup;Medan;Branch;Azahra Kusuma;Kezia Karen
Formwork Board (Shuttering);Unbranded;Wood;Piece;28;30000;840000;IDR;17/02/2021 9:59;Pickup;Jakarta;Branch;Kayla Kusuma;Ahmad Adam
Wall Paint;Dulux;Paint;Can;42;120000;5040000;IDR;07/05/2024 16:22;Delivery;Jakarta;Branch;Saiful Kusuma;Muhammad Fikru
Sitting Toilet;TOTO;Sanitary;Piece;32;1200000;38400000;IDR;24/06/2020 12:00;Delivery;Jayapura;Branch;Agus Pahlevi;Faiz Fadlurrahman
Steel Door;WINA;Door;Piece;3;700000;2100000;IDR;28/10/2024 12:45;Delivery;Jakarta;Branch;Melania Malaka;Erinna Elsa Elizha
Concrete Block;Bricon;Brick;Piece;2;5000;10000;IDR;21/04/2020 12:49;Delivery;Denpasar;Branch;Maya Malaka;Nina Octavia
Conduit Pipe;Clipsal;Electrical;Meter;36;7000;252000;IDR;25/04/2022 13:21;Pickup;Bandung;Branch;Azahra Pahlevi;Harum Hafsa
Tile Grout;Sika;Mortar;Sack;7;45000;315000;IDR;26/04/2021 14:04;Pickup;Jayapura;Branch;Asep Syaiban;Faiz Fadlurrahman
Masonry Sand;Unbranded;Sand;Cubic Meter;42;250000;10500000;IDR;30/11/2021 13:23;Delivery;Jayapura;Branch;Azahra Thalib;Fauzi Ghaffar
Lamp Bulb;Philips;Electrical;Piece;46;15000;690000;IDR;17/09/2020 15:53;Delivery;Jayapura;Branch;Aleena Malaka;Fauzi Ghaffar
Hand Saw;Tekiro;Tool;Piece;7;60000;420000;IDR;09/03/2024 14:56;Delivery;Jakarta;Branch;Erna Tanuwijaya;Muhammad Fikru
PVC Pipe;Wavin;Plumbing;Meter;23;15000;345000;IDR;18/04/2020 17:10;Delivery;Bandung;Branch;Erna Tanuwijaya;Harum Hafsa
Door Lock;Solid;Lock;Set;19;100000;1900000;IDR;26/04/2021 14:01;Pickup;Jakarta;Branch;Tono Ubaid;Fiona Gianna
Gresik 40 kg;Gresik;Cement;Sack;14;57000;798000;IDR;16/08/2021 16:40;Delivery;Tasikmalaya;Head Office;Hendra Malaka;Al Harits
Asbestos Sheet;Djabesmen;Roof Covering;Meter;14;60000;840000;IDR;10/06/2023 10:46;Delivery;Tasikmalaya;Head Office;Tono Pahlevi;Atyla Azfa
Lightweight Steel Roof Frame;Taso;Roof Frame;Meter;39;45000;1755000;IDR;07/12/2023 13:00;Pickup;Bandung;Branch;Tono Syaiban;Hera Harsha
Squat Toilet;INA;Sanitary;Piece;10;300000;3000000;IDR;18/09/2023 15:07;Pickup;Jakarta;Branch;Melania Pahlevi;Fiona Gianna
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;14;15000;210000;IDR;09/03/2021 16:11;Delivery;Medan;Branch;Syifa Kusuma;Chairil Dhaifullah
Trowel;Lippro;Tool;Piece;48;25000;1200000;IDR;01/10/2024 10:51;Delivery;Jakarta;Branch;Asep Thalib;Muhammad Fikru
Water Tank;Penguin;Plumbing;Piece;46;1500000;69000000;IDR;20/12/2022 12:18;Delivery;Bandung;Branch;Aleena Tanuwijaya;Asep Aziz
Wheelbarrow;Artco;Tool;Piece;11;450000;4950000;IDR;22/12/2022 17:20;Pickup;Bandung;Branch;Melania Malaka;Hera Harsha
Electrical Cable;Supreme;Electrical;Meter;19;5000;95000;IDR;08/12/2023 12:50;Pickup;Surabaya;Branch;Agus Kusuma;Burhan Bakhtiar
Tile Adhesive Mortar;AM;Mortar;Sack;26;60000;1560000;IDR;16/12/2022 8:44;Delivery;Surabaya;Branch;Tono Kusuma;Isabell Inaya
Skim Coat (Wall Putty);Drymix;Mortar;Sack;3;55000;165000;IDR;20/09/2022 9:28;Delivery;Jakarta;Branch;Budi Shihab;Fiona Gianna
Timber Beam (Kaso);Unbranded;Wood;Piece;24;25000;600000;IDR;12/08/2024 9:20;Pickup;Medan;Branch;Ferry Kusuma;Ehsan Aziz
Gypsum Board;Jayaboard;Ceiling;Sheet;15;60000;900000;IDR;14/08/2020 16:32;Delivery;Tasikmalaya;Head Office;Tono Kusuma;Naura Aliya Lestari
Spandek / Galvalume Sheet;BlueScope;Roof Covering;Meter;11;90000;990000;IDR;13/11/2024 10:24;Delivery;Tasikmalaya;Head Office;Tono Jayawardana;Al Harits
Granite Tile;Indogress;Tile;Box;40;150000;6000000;IDR;24/10/2023 9:18;Delivery;Tasikmalaya;Head Office;Ferry Wijaya;Atyla Azfa
Door Lock;Solid;Lock;Set;8;100000;800000;IDR;17/03/2022 11:30;Pickup;Jayapura;Branch;Ferry Tanuwijaya;Faiz Fadlurrahman
Rebar 8mm;Master Steel;Steel;Meter;49;20000;980000;IDR;08/06/2023 11:41;Pickup;Denpasar;Branch;Kayla Pahlevi;Ilyas Jabar
Door Hinge;Belleza;Lock Accessory;Pair;24;30000;720000;IDR;18/11/2021 12:58;Delivery;Bandung;Branch;Erna Syaiban;Anwar Arif Akhtar
Hammer;Lippro;Tool;Piece;21;50000;1050000;IDR;27/02/2020 13:22;Pickup;Bandung;Branch;Wawan Shihab;Hera Harsha
Door Handle;Belleza;Lock Accessory;Piece;6;50000;300000;IDR;02/06/2023 8:25;Delivery;Denpasar;Branch;Nina Tanuwijaya;Ibrahim Iman
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;42;15000;630000;IDR;22/02/2021 13:50;Pickup;Surabaya;Branch;Tono Pahlevi;Zahra Jasmine
PVC Pipe;Rucika;Plumbing;Meter;15;16000;240000;IDR;01/03/2023 15:44;Delivery;Jayapura;Branch;Agung Thalib;Faiz Fadlurrahman
Holcim 50 kg;Holcim;Cement;Sack;23;68000;1564000;IDR;23/03/2021 15:14;Delivery;Bandung;Branch;Ananda Shihab;Asep Aziz
Red Brick;Laksana;Brick;Piece;12;800;9600;IDR;18/08/2020 10:01;Pickup;Denpasar;Branch;Tono Syaiban;Ilyas Jabar
Steel Door;WINA;Door;Piece;13;700000;9100000;IDR;23/11/2021 15:29;Delivery;Medan;Branch;Hendra Syaiban;Kayla Kiki Lena
Wall Paint;Dulux;Paint;Can;26;120000;3120000;IDR;07/08/2023 10:58;Pickup;Denpasar;Branch;Ananda Pahlevi;Ibrahim Iman
Hoe;Camel;Tool;Piece;2;80000;160000;IDR;26/09/2024 10:00;Pickup;Jayapura;Branch;Agus Syaiban;Marshanda Maharani
Timber Beam (Kaso);Unbranded;Wood;Piece;19;25000;475000;IDR;20/09/2022 10:01;Delivery;Bandung;Branch;Ananda Thalib;Harum Hafsa
Asbestos Sheet;Djabesmen;Roof Covering;Meter;23;60000;1380000;IDR;19/05/2020 17:01;Pickup;Jayapura;Branch;Maya Wijaya;Latifa Laila
Tiga Roda 40 kg;Tiga Roda;Cement;Sack;1;64000;64000;IDR;22/01/2020 11:13;Pickup;Tasikmalaya;Head Office;Azahra Shihab;Naura Aliya Lestari
